name,region,year,POP,GDP,HEX,LAN,MOR
United Kingdom,Europe & Central Asia,2004,59987905,23e11,7.97890281,241930,6.1
United States,North America,2004,292805298,123e11,15.13565701,9161920,8.1
Uruguay,Latin America & Caribbean,2004,3324096,13686329890,11.58763842,175020,14.8
Uzbekistan,Europe & Central Asia,2004,25864350,12030023548,5.11436038,425400,56
Vanuatu,East Asia & Pacific,2004,204144,364996869.1,4.11663165,12190,27.9
"Venezuela, RB",Latin America & Caribbean,2004,26314483,112e9,4.77964216,882050,19.2
Vietnam,East Asia & Pacific,2004,81436400,49424107710,5.08710719,310070,29.4
Virgin Islands (U.S.),Latin America & Caribbean,2004,107950,NA,NA,350,NA
West Bank and Gaza,Middle East & North Africa,2004,3236626,43292e5,NA,6020,26.9
"Yemen, Rep.",Middle East & North Africa,2004,19931617,13873500888,4.8988836,527970,76.8
Zambia,Sub-Saharan Africa,2004,11725635,6221077675,7.32536011,743390,120.6
Zimbabwe,Sub-Saharan Africa,2004,12867828,5805598400,7.13051837,386850,103
Afghanistan,South Asia,2005,24399948,6275076016,8.06810435,652860,119.6
Albania,Europe & Central Asia,2005,3011487,8158548717,6.11631076,27400,20.5
Algeria,Middle East & North Africa,2005,33267887,103e9,3.23516801,2381740,33.6
American Samoa,East Asia & Pacific,2005,59117,NA,NA,200,NA
Andorra,Europe & Central Asia,2005,81223,3248134607,5.22335314,470,3.9
Angola,Sub-Saharan Africa,2005,17912942,28233712831,4.10396002,1246700,203.9
Antigua and Barbuda,Latin America & Caribbean,2005,82565,997374111.1,4.41010035,440,12.4
Argentina,Latin America & Caribbean,2005,39145491,221e9,6.84561938,2736690,17.1
Armenia,Europe & Central Asia,2005,3014917,4900469515,5.25211644,28470,23.4
Aruba,Latin America & Caribbean,2005,100031,2331005587,NA,180,NA
Australia,East Asia & Pacific,2005,20394800,693e9,8.45389263,7682300,5.7
Austria,Europe & Central Asia,2005,8227829,315e9,10.53141508,82580,4.9
Azerbaijan,Europe & Central Asia,2005,8391850,13245421881,7.8639081,82660,51.7
"Bahamas, The",Latin America & Caribbean,2005,329243,7706222e3,5.95416502,10010,15.3
Bahrain,Middle East & North Africa,2005,867014,15968726862,3.15804988,740,10.9
Bangladesh,South Asia,2005,142929979,69442943089,2.67725039,130170,66.8
Barbados,Latin America & Caribbean,2005,274013,38975e5,5.37770788,430,16.5
Belarus,Europe & Central Asia,2005,9663e3,30210091837,6.88634578,202830,9.4
Belgium,Europe & Central Asia,2005,10478617,387e9,9.24428757,30280,5
Belize,Latin America & Caribbean,2005,283279,1114202700,4.45271318,22810,21.7
Benin,Sub-Saharan Africa,2005,8182362,4803702821,4.73384847,112760,125.5
Bermuda,North America,2005,64154,4868136e3,NA,50,NA
Bhutan,South Asia,2005,651163,818869145.1,5.28092275,38117,58.5
Bolivia,Latin America & Caribbean,2005,9125405,9549077869,5.66626332,1083300,61.4
Bosnia and Herzegovina,Europe & Central Asia,2005,3833377,11225138297,8.49615182,51200,8.3
Botswana,Sub-Saharan Africa,2005,1864003,9931134941,5.62371187,566730,69
Brazil,Latin America & Caribbean,2005,188479240,892e9,8.26702693,8358140,21.9
British Virgin Islands,Latin America & Caribbean,2005,23169,NA,NA,150,NA
Brunei Darussalam,East Asia & Pacific,2005,361889,9531402848,2.62469019,5270,9
Bulgaria,Europe & Central Asia,2005,7739900,29821662537,7.07978092,108640,15.9
Burkina Faso,Sub-Saharan Africa,2005,13421929,5462709498,6.87238586,273600,158.3
Burundi,Sub-Saharan Africa,2005,7934213,1117257279,9.83776739,25680,127.1
Cabo Verde,Sub-Saharan Africa,2005,474224,971977088.2,4.85837167,4030,27.7
Cambodia,East Asia & Pacific,2005,13320058,6293046162,5.84121965,176520,65.4
Cameroon,Sub-Saharan Africa,2005,18126999,16587858857,4.75114245,472710,125.1
Canada,North America,2005,32312e3,117e10,9.57259884,9093510,6.1
Cayman Islands,Latin America & Caribbean,2005,48623,NA,NA,240,NA
Central African Republic,Sub-Saharan Africa,2005,4055608,1350301057,4.29009912,622980,166.2
Chad,Sub-Saharan Africa,2005,10067932,6646663021,3.91024833,1259200,177
Channel Islands,Europe & Central Asia,2005,154298,8827272727,NA,194,NA
Chile,Latin America & Caribbean,2005,16096571,124e9,6.69119625,743532,9.1
China,East Asia & Pacific,2005,130372e4,227e10,4.65846996,9388211.8,24
Colombia,Latin America & Caribbean,2005,43285636,147e9,5.8158366,1109500,21.5
Comoros,Sub-Saharan Africa,2005,618632,380372892.6,4.31649402,1861,97.8
"Congo, Dem. Rep.",Sub-Saharan Africa,2005,56089536,11964484668,3.14461623,2267050,138.4
"Congo, Rep.",Sub-Saharan Africa,2005,3503086,6087002682,2.42171832,341500,95.3
Costa Rica,Latin America & Caribbean,2005,4247843,19964925503,7.73973795,51060,10.4
Cote d'Ivoire,Sub-Saharan Africa,2005,18132702,17084928927,5.3896073,318e3,128.8
Croatia,Europe & Central Asia,2005,4442e3,45416076681,6.89409977,55960,6.8
Cuba,Latin America & Caribbean,2005,11261052,426442e5,9.39424353,106440,6.8
Cyprus,Europe & Central Asia,2005,1032586,18270009451,6.3690867,9240,4.8
Czech Republic,Europe & Central Asia,2005,10211216,136e9,6.93394326,77260,5.2
Denmark,Europe & Central Asia,2005,5419432,265e9,9.7699606,42430,4.9
Djibouti,Middle East & North Africa,2005,778406,708633194.7,7.21478463,23180,88.5
Dominica,Latin America & Caribbean,2005,70542,370370370.4,4.5907974,750,15.6
Dominican Republic,Latin America & Caribbean,2005,9237565,34004081037,4.26151651,48320,36.8
Ecuador,Latin America & Caribbean,2005,13735232,41507085e3,5.87295184,248360,29.1
"Egypt, Arab Rep.",Middle East & North Africa,2005,74942115,89685725230,5.06260429,995450,35.6
El Salvador,Latin America & Caribbean,2005,5947206,170938e5,7.19019921,20720,24.8
Equatorial Guinea,Sub-Saharan Africa,2005,625866,8217369093,1.63062912,28050,131.2
Eritrea,Sub-Saharan Africa,2005,4191273,1098425901,2.96792167,101e3,69.5
Estonia,Europe & Central Asia,2005,1354775,14006093769,5.01934025,42390,7.3
Ethiopia,Sub-Saharan Africa,2005,76608431,12401139454,4.20170809,1e6,109.1
Faroe Islands,Europe & Central Asia,2005,48337,1730891409,NA,1396,NA
Fiji,East Asia & Pacific,2005,821820,3006725015,3.60776119,18270,23.7
Finland,Europe & Central Asia,2005,5246096,204e9,8.42946509,304590,3.8
France,Europe & Central Asia,2005,63179356,22e11,10.59988615,547556,4.6
French Polynesia,East Asia & Pacific,2005,254884,NA,NA,3660,NA
Gabon,Sub-Saharan Africa,2005,1377777,9458884812,2.75520343,257670,76.7
"Gambia, The",Sub-Saharan Africa,2005,1440542,624174723.7,4.96685998,10120,97.9
Georgia,Europe & Central Asia,2005,419e4,6410941013,8.59882617,69490,24.6
Germany,Europe & Central Asia,2005,82469422,286e10,10.51754561,348760,4.7
Ghana,Sub-Saharan Africa,2005,21389514,10731634117,4.50784786,227540,86.5
Gibraltar,Europe & Central Asia,2005,29080,NA,NA,10,NA
Greece,Europe & Central Asia,2005,10987314,248e9,9.36146591,128900,5.5
Greenland,Europe & Central Asia,2005,56935,1650283229,NA,410450,NA
Grenada,Latin America & Caribbean,2005,102951,695370296.3,5.50415611,340,14.2
Guam,East Asia & Pacific,2005,158401,NA,NA,540,NA
Guatemala,Latin America & Caribbean,2005,13183505,27211377220,6.78948738,107160,41.4
Guinea,Sub-Saharan Africa,2005,9669023,2937071767,2.82148862,245720,136.7
Guinea-Bissau,Sub-Saharan Africa,2005,1462784,586791836.1,5.71621565,28120,146.2
Guyana,Latin America & Caribbean,2005,742495,824880550.3,5.82749382,196850,42.8
Haiti,Latin America & Caribbean,2005,9263409,4310358096,4.40741512,27560,90
Honduras,Latin America & Caribbean,2005,6880181,9672035709,7.81458832,111890,30
"Hong Kong SAR, China",East Asia & Pacific,2005,6813200,182e9,NA,1050,NA
Hungary,Europe & Central Asia,2005,10087065,113e9,8.27979357,89610,8.3
Iceland,Europe & Central Asia,2005,296734,16749309720,9.20976024,100250,3.1
India,South Asia,2005,1144326293,834e9,4.28217471,2973190,74.6
Indonesia,East Asia & Pacific,2005,226254703,286e9,2.78958066,1811570,41.4
"Iran, Islamic Rep.",Middle East & North Africa,2005,70122115,22e10,6.06355948,1628550,25.7
Iraq,Middle East & North Africa,2005,27017712,49954890353,4.13339428,437370,40.7
Ireland,Europe & Central Asia,2005,4159914,211e9,7.26683559,68890,5.2
Isle of Man,Europe & Central Asia,2005,80345,2971167185,NA,570,NA
Israel,Middle East & North Africa,2005,6930100,143e9,7.43511313,21640,5.6
Italy,Europe & Central Asia,2005,57969484,185e10,8.70707069,294140,4.4
Jamaica,Latin America & Caribbean,2005,2643601,11204416e3,4.06830563,10830,19.7
Japan,East Asia & Pacific,2005,127773e3,457e10,8.18154267,364500,3.7
Jordan,Middle East & North Africa,2005,5332982,12588665303,8.88253327,88240,24.1
Kazakhstan,Europe & Central Asia,2005,15147029,57123671734,4.06951322,2699700,32.5
Kenya,Sub-Saharan Africa,2005,35349040,18737895401,4.36354595,569140,85.5
Kiribati,East Asia & Pacific,2005,92329,106149546.4,10.05853597,810,64.8
"Korea, Dem. People<92>s Rep.",East Asia & Pacific,2005,23813324,NA,NA,120410,32.7
"Korea, Rep.",East Asia & Pacific,2005,48138077,898e9,5.32851591,96850,5.6
Kosovo,Europe & Central Asia,2005,1705780,3736599925,NA,10887,NA
Kuwait,Middle East & North Africa,2005,2263604,80797945205,2.37794798,17820,11.7
Kyrgyz Republic,Europe & Central Asia,2005,5162600,2460246796,5.82230709,191800,39.3
Lao PDR,East Asia & Pacific,2005,5745012,2735558735,4.31668409,230800,97.2
Latvia,Europe & Central Asia,2005,2238799,16903250778,6.37415759,62196,12.5
Lebanon,Middle East & North Africa,2005,3986865,21287562189,8.41980531,10230,14.1
Lesotho,Sub-Saharan Africa,2005,1925844,1368352570,6.29584414,30360,123.4
Liberia,Sub-Saharan Africa,2005,3269786,55e7,8.0358831,96320,124.7
Libya,Middle East & North Africa,2005,5801543,47334148578,2.70538066,1759540,23.1
Liechtenstein,Europe & Central Asia,2005,34852,3659320087,NA,160,NA
Lithuania,Europe & Central Asia,2005,3322528,26125575942,5.83432657,62680,9.9
Luxembourg,Europe & Central Asia,2005,465158,36977365999,7.94570112,2590,3.5
"Macao SAR, China",East Asia & Pacific,2005,468149,12092284455,NA,28,NA
"Macedonia, FYR",Europe & Central Asia,2005,2042894,6258600714,7.95350493,25430,13.7
Madagascar,Sub-Saharan Africa,2005,18290394,5039293031,5.03002085,581540,80.6
Malawi,Sub-Saharan Africa,2005,12747846,3655892942,8.20169881,94280,116.2
Malaysia,East Asia & Pacific,2005,25796124,144e9,3.29181275,328550,8.2
Maldives,South Asia,2005,321e3,1119806500,9.52452498,300,22.8
Mali,Sub-Saharan Africa,2005,12881384,6245031690,6.33580578,1220190,171.8
Malta,Middle East & North Africa,2005,403834,5990648162,8.83355332,320,7
Marshall Islands,East Asia & Pacific,2005,52058,137744500,17.4250474,180,40.2
Mauritania,Sub-Saharan Africa,2005,3154087,2184444849,4.2060502,1030700,109.8
Mauritius,Sub-Saharan Africa,2005,1228254,6283796155,4.46865768,2030,15.7
Mexico,Latin America & Caribbean,2005,109747906,866e9,6.0443102,1943950,19.5
"Micronesia, Fed. Sts.",East Asia & Pacific,2005,106198,249845600,12.112,700,47.4
Moldova,Europe & Central Asia,2005,3595187,2988338439,9.15376162,32890,19.7
Monaco,Europe & Central Asia,2005,33808,4280072626,4.00135654,2,4.5
Mongolia,East Asia & Pacific,2005,2526447,2523471602,5.08566386,1553560,43.4
Montenegro,Europe & Central Asia,2005,614261,2257118341,8.46232483,13450,10.4
Morocco,Middle East & North Africa,2005,30385479,62343022651,5.05803376,446300,40.4
Mozambique,Sub-Saharan Africa,2005,21126676,7723846195,6.86781935,786380,133.8
Myanmar,East Asia & Pacific,2005,49984704,NA,1.83009783,653360,70.5
Namibia,Sub-Saharan Africa,2005,2027026,7261333795,7.31871061,823290,71.7
Nauru,East Asia & Pacific,2005,10115,NA,12.57138688,20,38.7
Nepal,South Asia,2005,25506847,8130258976,5.72405361,143350,60
Netherlands,Europe & Central Asia,2005,16319868,679e9,9.59771913,33760,5.4
New Caledonia,East Asia & Pacific,2005,231e3,NA,NA,18280,NA
New Zealand,East Asia & Pacific,2005,4133900,115e9,8.24881468,263310,6.6
Nicaragua,Latin America & Caribbean,2005,5379327,6321335612,6.11145325,120340,31.7
Niger,Sub-Saharan Africa,2005,13485436,3405134832,7.14963764,1266700,172.7
Nigeria,Sub-Saharan Africa,2005,139611303,112e9,4.10629745,910770,158.1
Northern Mariana Islands,East Asia & Pacific,2005,64372,NA,NA,460,NA
Norway,Europe & Central Asia,2005,4623291,309e9,8.89402506,365245,4
Oman,Middle East & North Africa,2005,2506891,31081924577,2.58713523,309500,12.7
Pakistan,South Asia,2005,153356383,11e10,2.91358382,770880,101.2
Palau,East Asia & Pacific,2005,19907,1933e5,8.21470499,460,22.9
Panama,Latin America & Caribbean,2005,3319301,16374277900,7.47896823,74340,22.9
Papua New Guinea,East Asia & Pacific,2005,6086905,4865971718,6.41591818,452860,74.2
Paraguay,Latin America & Caribbean,2005,5795493,8734653809,6.07399547,397300,28.4
Peru,Latin America & Caribbean,2005,27610406,74947898080,4.71800204,128e4,27.4
Philippines,East Asia & Pacific,2005,86141373,103e9,3.9138542,298170,35.7
Poland,Europe & Central Asia,2005,38165445,304e9,6.20353532,306330,7.6
Portugal,Europe & Central Asia,2005,10503330,197e9,9.97647249,91470,4.7
Puerto Rico,Latin America & Caribbean,2005,3821362,83914521341,NA,8870,NA
Qatar,Middle East & North Africa,2005,836924,44530494505,3.01330669,11610,10.3
Romania,Europe & Central Asia,2005,21319685,99697566668,5.46905767,229980,20.9
Russian Federation,Europe & Central Asia,2005,143518523,764e9,5.21198715,16381390,16.7
Rwanda,Sub-Saharan Africa,2005,9008230,2581465675,6.83378867,24670,110.7
Samoa,East Asia & Pacific,2005,179928,465568018.3,4.4674683,2830,19.3
San Marino,Europe & Central Asia,2005,29242,1375416604,4.08634536,60,4.2
Sao Tome and Principe,Sub-Saharan Africa,2005,153146,126194166.2,10.03778171,960,70.1
Saudi Arabia,Middle East & North Africa,2005,24745230,328e9,3.4187517,2149690,19.7
Senegal,Sub-Saharan Africa,2005,11268994,8707015771,5.35462391,192530,96.2
Serbia,Europe & Central Asia,2005,7440769,26252007830,8.70154867,87460,8.9
Seychelles,Sub-Saharan Africa,2005,82900,919103254.5,3.90758098,460,14.2
Sierra Leone,Sub-Saharan Africa,2005,5071271,1627854495,12.24678485,72180,203.7
Singapore,East Asia & Pacific,2005,4265762,127e9,3.7437377,689,2.9
Sint Maarten (Dutch part),Latin America & Caribbean,2005,36934,NA,NA,34,NA
Slovak Republic,Europe & Central Asia,2005,5372807,62493023256,7.04485118,48100,9.9
Slovenia,Europe & Central Asia,2005,2000474,36346971770,8.49586245,20140,4.3
Solomon Islands,East Asia & Pacific,2005,469306,413911362.3,7.83435685,27990,33.2
Somalia,Sub-Saharan Africa,2005,8466938,NA,NA,627340,174.3
South Africa,Sub-Saharan Africa,2005,47270062.72,258e9,7.76856193,1213090,75.2
South Sudan,Sub-Saharan Africa,2005,8099908,NA,NA,NA,139.3
Spain,Europe & Central Asia,2005,43653155,116e10,8.11898424,499090,5.7
Sri Lanka,South Asia,2005,19373e3,24406252457,4.06081747,62710,14
St. Kitts and Nevis,Latin America & Caribbean,2005,49139,543169963,4.80077315,260,15.2
St. Lucia,Latin America & Caribbean,2005,165407,946681289,6.24652588,610,17.1
St. Martin (French part),Latin America & Caribbean,2005,27906,NA,NA,54.4,NA
St. Vincent and the Grenadines,Latin America & Caribbean,2005,108749,550728666.7,3.65905803,390,21.8
Sudan,Sub-Saharan Africa,2005,31990003,26524538566,3.1765208,2376e3,91.9
Suriname,Latin America & Caribbean,2005,491999,1793776693,6.7755102,156e3,29.2
Swaziland,Sub-Saharan Africa,2005,1104642,2584089444,6.79799069,17200,130.2
Sweden,Europe & Central Asia,2005,9029572,389e9,9.06150305,410340,3.6
Switzerland,Europe & Central Asia,2005,7437115,408e9,10.86294204,39518,5.1
Syrian Arab Republic,Middle East & North Africa,2005,18132842,28858965517,4.10970595,183570,18.8
Tajikistan,Europe & Central Asia,2005,6805655,2312344311,5.88684129,139960,65.2
Tanzania,Sub-Saharan Africa,2005,39065600,16929976600,4.66284406,885800,92.4
Thailand,East Asia & Pacific,2005,65863973,189e9,4.64478993,510890,17.8
Timor-Leste,East Asia & Pacific,2005,979201,491e6,1.04740904,14870,83.3
Togo,Sub-Saharan Africa,2005,5578219,2115154262,5.17180825,54390,105.1
Tonga,East Asia & Pacific,2005,100858,258739680.9,6.52379264,720,16.7
Trinidad and Tobago,Latin America & Caribbean,2005,1296933,15982282468,5.31033616,5130,26.9
Tunisia,Middle East & North Africa,2005,10029e3,32273007554,5.56702876,155360,23
Turkey,Europe & Central Asia,2005,67860617,483e9,5.44880157,769630,27.7
Turkmenistan,Europe & Central Asia,2005,4747839,8104355717,3.51024521,469930,70.1
Turks and Caicos Islands,Latin America & Caribbean,2005,26450,NA,NA,950,NA
Tuvalu,East Asia & Pacific,2005,9694,21839543.63,18.41012845,30,36.6
Uganda,Sub-Saharan Africa,2005,28042413,9013834373,9.36187998,199810,107.4
Ukraine,Europe & Central Asia,2005,47105150,86142018069,6.41043647,579380,14.5
United Arab Emirates,Middle East & North Africa,2005,4481976,181e9,2.32021865,83600,9.8
United Kingdom,Europe & Central Asia,2005,60401206,242e10,8.23536912,241930,6
United States,North America,2005,295516599,131e11,15.15399054,9161920,8
Uruguay,Latin America & Caribbean,2005,3325608,17362857684,11.1496572,175020,14.3
Uzbekistan,Europe & Central Asia,2005,26167e3,14307509839,5.11296685,425400,54.2
Vanuatu,East Asia & Pacific,2005,209375,394962552.3,3.86851559,12190,27.9
"Venezuela, RB",Latin America & Caribbean,2005,26769115,146e9,4.6940286,882050,18.5
Vietnam,East Asia & Pacific,2005,82392100,57633255739,5.37666261,310070,28.5
Virgin Islands (U.S.),Latin America & Caribbean,2005,107863,NA,NA,350,NA
West Bank and Gaza,Middle East & North Africa,2005,3320396,48318e5,NA,6020,26.3
"Yemen, Rep.",Middle East & North Africa,2005,20504385,16753772448,4.5804801,527970,72.6
Zambia,Sub-Saharan Africa,2005,12043591,8331870169,7.55610861,743390,111.7
Zimbabwe,Sub-Saharan Africa,2005,12984418,5755215200,6.43560337,386850,101.9
Afghanistan,South Asia,2006,25183615,7057598407,7.43397155,652860,116.3
Albania,Europe & Central Asia,2006,2992547,8992642349,5.86129625,27400,19.5
Algeria,Middle East & North Africa,2006,33749328,117e9,3.35511843,2381740,32.1
American Samoa,East Asia & Pacific,2006,58648,NA,NA,200,NA
Andorra,Europe & Central Asia,2006,83373,3536451646,5.31389324,470,3.7
Angola,Sub-Saharan Africa,2006,18541467,41789478661,4.54243749,1246700,200.5
Antigua and Barbuda,Latin America & Caribbean,2006,83467,1135143593,4.34002161,440,11.8
Argentina,Latin America & Caribbean,2006,39558750,263e9,6.68187054,2736690,16.4
Armenia,Europe & Central Asia,2006,3002161,6384451606,4.57775072,28470,22.2
Aruba,Latin America & Caribbean,2006,100830,2421474860,NA,180,NA
Australia,East Asia & Pacific,2006,20697900,747e9,8.49118995,7682300,5.6
Austria,Europe & Central Asia,2006,8268641,334e9,10.35154773,82580,4.8
Azerbaijan,Europe & Central Asia,2006,8484550,20983019924,6.16806759,82637,48.6
"Bahamas, The",Latin America & Caribbean,2006,335801,7965588e3,6.93251788,10010,15.1
Bahrain,Middle East & North Africa,2006,940808,18505053191,3.07675509,740,10.5
Bangladesh,South Asia,2006,144839238,71819083684,2.79623022,130170,63
Barbados,Latin America & Caribbean,2006,275040,43035e5,5.27479782,430,16.2
Belarus,Europe & Central Asia,2006,9604e3,36961821894,6.33679804,202900,8.7
Belgium,Europe & Central Asia,2006,10547958,41e10,9.17112797,30280,4.9
Belize,Latin America & Caribbean,2006,290751,1217442150,4.40074319,22810,21.2
Benin,Sub-Saharan Africa,2006,8443717,5142380779,4.75046608,112760,122.1
Bermuda,North America,2006,64523,5414299e3,NA,50,NA
Bhutan,South Asia,2006,666920,897731524.9,5.26868823,38117,54.8
Bolivia,Latin America & Caribbean,2006,9283345,11451869165,5.19483534,1083300,58.1
Bosnia and Herzegovina,Europe & Central Asia,2006,3838504,12866524918,8.28337432,51200,8.3
Botswana,Sub-Saharan Africa,2006,1895671,10126940513,4.92953585,566730,63.4
Brazil,Latin America & Caribbean,2006,190698241,111e10,8.35570723,8358140,20.4
British Virgin Islands,Latin America & Caribbean,2006,23908,NA,NA,150,NA
Brunei Darussalam,East Asia & Pacific,2006,368150,11470703002,2.24345194,5270,9
Bulgaria,Europe & Central Asia,2006,7699020,34304448150,6.6734753,108630,15
Burkina Faso,Sub-Saharan Africa,2006,13834195,5844669846,6.57889926,273600,149.4
Burundi,Sub-Saharan Africa,2006,8218070,1273180597,11.49013252,25680,120.9
Cabo Verde,Sub-Saharan Africa,2006,478265,1107891063,5.11488034,4030,27.9
Cambodia,East Asia & Pacific,2006,13525360,7274595707,4.47935339,176520,60.4
Cameroon,Sub-Saharan Africa,2006,18597109,17953066721,4.68549975,472710,120.7
Canada,North America,2006,32570505,132e10,9.75077613,9093510,6
Cayman Islands,Latin America & Caribbean,2006,50028,3207032513,NA,240,NA
Central African Republic,Sub-Saharan Africa,2006,4127112,1460562038,3.98872906,622980,163.9
Chad,Sub-Saharan Africa,2006,10423616,7422102520,3.32174296,1259200,174.6
Channel Islands,Europe & Central Asia,2006,155415,9676172953,NA,194,NA
Chile,Latin America & Caribbean,2006,16279728,155e9,6.18107636,743532,9
China,East Asia & Pacific,2006,131102e4,273e10,4.52241742,9388211.4,21.9
Colombia,Latin America & Caribbean,2006,43835744,163e9,6.1117047,1109500,20.9
Comoros,Sub-Saharan Africa,2006,633814,406111873.5,4.57135897,1861,95.7
"Congo, Dem. Rep.",Sub-Saharan Africa,2006,57926840,14296507096,3.38568114,2267050,133.5
"Congo, Rep.",Sub-Saharan Africa,2006,3604595,7731261311,2.3727083,341500,87.4
Costa Rica,Latin America & Caribbean,2006,4308790,22526463619,7.8231858,51060,10.3
Cote d'Ivoire,Sub-Saharan Africa,2006,18486392,17800887796,5.87099688,318e3,125.1
Croatia,Europe & Central Asia,2006,444e4,50453577898,6.95312104,55960,6.5
Cuba,Latin America & Caribbean,2006,11275199,527421e5,7.67119625,106430,6.6
Cyprus,Europe & Central Asia,2006,1048293,19866878479,6.27810151,9240,4.6
Czech Republic,Europe & Central Asia,2006,10238905,155e9,6.69370303,77250,5
Denmark,Europe & Central Asia,2006,5437272,283e9,9.92431629,42430,4.7
Djibouti,Middle East & North Africa,2006,788941,768873684,7.05121762,23180,86
Dominica,Latin America & Caribbean,2006,70690,390370370.4,4.54040177,750,16
Dominican Republic,Latin America & Caribbean,2006,9371333,35952890849,4.34435286,48320,36.1
Ecuador,Latin America & Caribbean,2006,13967490,46802044e3,5.85722282,248360,28.3
"Egypt, Arab Rep.",Middle East & North Africa,2006,76274285,107e9,5.23956984,995450,34.1
El Salvador,Latin America & Caribbean,2006,5967556,185507e5,6.67646241,20720,23.6
Equatorial Guinea,Sub-Saharan Africa,2006,645718,9144693758,2.12883668,28050,126.9
Eritrea,Sub-Saharan Africa,2006,4304440,1211161880,3.29897088,101e3,66.3
Estonia,Europe & Central Asia,2006,1346810,16963630661,5.01483256,42390,6.7
Ethiopia,Sub-Saharan Africa,2006,78735675,15280861835,4.46674967,1e6,101.3
Faroe Islands,Europe & Central Asia,2006,48505,1970142378,NA,1396,NA
Fiji,East Asia & Pacific,2006,827390,3102741451,3.83604195,18270,23.8
Finland,Europe & Central Asia,2006,5266268,217e9,8.38132513,304110,3.6
France,Europe & Central Asia,2006,63621376,233e10,10.52922033,547556,4.5
French Polynesia,East Asia & Pacific,2006,257731,NA,NA,3660,NA
Gabon,Sub-Saharan Africa,2006,1408920,10154041930,2.88201626,257670,74.5
"Gambia, The",Sub-Saharan Africa,2006,1487731,655068696,5.52277969,10120,94.2
Georgia,Europe & Central Asia,2006,4136e3,7745406201,8.39422247,69490,22.7
Germany,Europe & Central Asia,2006,82376451,3e12,10.34100073,348720,4.6
Ghana,Sub-Saharan Africa,2006,21951891,20409257610,4.63638188,227540,84.4
Gibraltar,Europe & Central Asia,2006,29437,NA,NA,10,NA
Greece,Europe & Central Asia,2006,11020362,273e9,9.33528442,128900,5.2
Greenland,Europe & Central Asia,2006,56774,1811232805,NA,410450,NA
Grenada,Latin America & Caribbean,2006,103259,698518518.5,5.99301739,340,14
Guam,East Asia & Pacific,2006,158429,NA,NA,540,NA
Guatemala,Latin America & Caribbean,2006,13490041,30231249362,7.07207735,107160,39.9
Guinea,Sub-Saharan Africa,2006,9898301,2931625105,3.02029095,245720,131.2
Guinea-Bissau,Sub-Saharan Africa,2006,1494603,591829897.5,5.8746927,28120,139.9
Guyana,Latin America & Caribbean,2006,743705,1458446872,4.66920858,196850,42.4
Haiti,Latin America & Caribbean,2006,9409479,4757289752,5.69978142,27560,87.7
Honduras,Latin America & Caribbean,2006,7007029,10841742348,7.63244921,111890,28.8
"Hong Kong SAR, China",East Asia & Pacific,2006,6857100,194e9,NA,1050,NA
Hungary,Europe & Central Asia,2006,10071370,115e9,8.09995208,89610,7.9
Iceland,Europe & Central Asia,2006,303782,17041293816,8.96470691,100250,2.9
India,South Asia,2006,1162088305,949e9,4.24668128,2973190,71.5
Indonesia,East Asia & Pacific,2006,229263980,365e9,2.90514781,1811570,39.6
"Iran, Islamic Rep.",Middle East & North Africa,2006,70923164,259e9,5.94523503,1628550,24.2
Iraq,Middle East & North Africa,2006,27716983,65140293688,2.99905461,437370,39.9
Ireland,Europe & Central Asia,2006,4273591,232e9,7.22353538,68890,4.9
Isle of Man,Europe & Central Asia,2006,81110,3344402193,NA,570,NA
Israel,Middle East & North Africa,2006,7053700,155e9,7.37962269,21640,5.3
Italy,Europe & Central Asia,2006,58143979,194e10,8.81849072,294140,4.3
Jamaica,Latin America & Caribbean,2006,2653042,11905525197,4.22114615,10830,19.5
Japan,East Asia & Pacific,2006,127854e3,436e10,8.19413457,364500,3.6
Jordan,Middle East & North Africa,2006,5530218,15056936953,8.08490328,88240,23.4
Kazakhstan,Europe & Central Asia,2006,15308084,81003884545,3.72656036,2699700,30.3
Kenya,Sub-Saharan Africa,2006,36286015,25825524821,4.24362134,569140,80.7
Kiribati,East Asia & Pacific,2006,94257,104668674.7,10.92704338,810,64.8
"Korea, Dem. People<92>s Rep.",East Asia & Pacific,2006,23969897,NA,NA,120410,32.2
"Korea, Rep.",East Asia & Pacific,2006,48371946,101e10,5.75710863,96880,5.2
Kosovo,Europe & Central Asia,2006,1719536,4078158324,NA,10887,NA
Kuwait,Middle East & North Africa,2006,2389498,102e9,2.25224274,17820,11.6
Kyrgyz Republic,Europe & Central Asia,2006,5218400,2834168889,6.73429073,191800,37.9
Lao PDR,East Asia & Pacific,2006,5838837,3452882514,4.14334297,230800,93.5
Latvia,Europe & Central Asia,2006,2218357,21410923e3,6.7991405,62196,11.8
Lebanon,Middle East & North Africa,2006,4057041,21796351575,8.83001398,10230,13
Lesotho,Sub-Saharan Africa,2006,1940345,1428852972,7.11552059,30360,123.2
Liberia,Sub-Saharan Africa,2006,3384804,604028900,10.90408771,96320,115.7
Libya,Middle East & North Africa,2006,5907149,54961936663,2.5091272,1759540,21.7
Liechtenstein,Europe & Central Asia,2006,35141,4000101033,NA,160,NA
Lithuania,Europe & Central Asia,2006,3269909,30216060233,6.19588569,62680,9.5
Luxembourg,Europe & Central Asia,2006,472637,41913561661,7.74947883,2590,3.3
