name,region,indicator,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015
American Samoa,East Asia & Pacific,GDP,,,,,,,,,,,,,,,
Australia,East Asia & Pacific,GDP,3.78E+11,3.94E+11,4.66E+11,6.13E+11,6.93E+11,7.47E+11,8.53E+11,1.05E+12,9.27E+11,1.14E+12,1.39E+12,1.54E+12,1.56E+12,1.45E+12,1.34E+12
Brunei Darussalam,East Asia & Pacific,GDP,5601090584,5843329108,6557333085,7872333215,9531402848,11470703002,12247694247,14393099069,10732366286,12370616062,16691533190,16953505122,16110693734,17104656669,15492035784
Cambodia,East Asia & Pacific,GDP,3979813388,4284028138,4658246907,5337833256,6293046162,7274595707,8639235842,10351914093,10401851851,11242275199,12829541141,14038383450,15449630419,16777820333,18049954289
China,East Asia & Pacific,GDP,1.33E+12,1.46E+12,1.65E+12,1.94E+12,2.27E+12,2.73E+12,3.52E+12,4.56E+12,5.06E+12,6.04E+12,7.49E+12,8.46E+12,9.49E+12,1.04E+13,1.09E+13
Fiji,East Asia & Pacific,GDP,1660102346,1842691481,2315935753,2727507213,3006725015,3102741451,3405050612,3523185920,2870624636,3140508836,3774537140,3977652383,4196263712,4531870927,4386008745
French Polynesia,East Asia & Pacific,GDP,,,,,,,,,,,,,,,
Guam,East Asia & Pacific,GDP,,,,,,,,,,,,,,,
"Hong Kong SAR, China",East Asia & Pacific,GDP,1.69E+11,1.66E+11,1.61E+11,1.69E+11,1.82E+11,1.94E+11,2.12E+11,2.19E+11,2.14E+11,2.29E+11,2.49E+11,2.63E+11,2.76E+11,2.91E+11,3.10E+11
Indonesia,East Asia & Pacific,GDP,1.60E+11,1.96E+11,2.35E+11,2.57E+11,2.86E+11,3.65E+11,4.32E+11,5.10E+11,5.40E+11,7.55E+11,8.93E+11,9.18E+11,9.13E+11,8.90E+11,8.62E+11
Japan,East Asia & Pacific,GDP,4.16E+12,3.98E+12,4.30E+12,4.66E+12,4.57E+12,4.36E+12,4.36E+12,4.85E+12,5.04E+12,5.50E+12,5.91E+12,5.96E+12,4.91E+12,4.60E+12,4.12E+12
Kiribati,East Asia & Pacific,GDP,63101272.37,72259045.96,90148518.06,102220914.8,106149546.4,104668674.7,123002259.2,135044455.6,127125253.5,150431113.6,172253739,174984468.8,168951535,166756805.5,145237022
"Korea, Dem. People’s Rep.",East Asia & Pacific,GDP,,,,,,,,,,,,,,,
"Korea, Rep.",East Asia & Pacific,GDP,5.33E+11,6.09E+11,6.81E+11,7.65E+11,8.98E+11,1.01E+12,1.12E+12,1.00E+12,9.02E+11,1.09E+12,1.20E+12,1.22E+12,1.31E+12,1.41E+12,1.38E+12
Lao PDR,East Asia & Pacific,GDP,1768619058,1758176653,2023324407,2366398120,2735558735,3452882514,4222962988,5443915121,5832915387,7181441140,8283218734,9359185244,11192471435,11715619756,12327488341
"Macao SAR, China",East Asia & Pacific,GDP,6811252879,7322690268,8194995761,10585562564,12092284455,14789661809,18340472131,20917457388,21475520709,28123640999,36709847597,43028648669,51548871616,55522993327,46177532874
Malaysia,East Asia & Pacific,GDP,92783947368,1.01E+11,1.10E+11,1.25E+11,1.44E+11,1.63E+11,1.94E+11,2.31E+11,2.02E+11,2.55E+11,2.98E+11,3.14E+11,3.23E+11,3.38E+11,2.96E+11
Marshall Islands,East Asia & Pacific,GDP,115152142.7,124735071.9,126887585.5,131106365.5,137744500,143656582.8,150071644.8,152793449.1,152130186,163803078.3,172861423.4,184439555.5,190180248.3,186716625.8,
"Micronesia, Fed. Sts.",East Asia & Pacific,GDP,240051900,241543400,244991000,239563300,249845600,252991200,255890800,261339600,277510900,294117200,310287500,325835160.3,315725617,318071978.6,
Mongolia,East Asia & Pacific,GDP,1267997923,1396555772,1595297301,1992066759,2523471602,3414055663,4234999703,5623216610,4583850368,7189482030,10409797336,12292770631,12582122604,12226514715,11757940909
Myanmar,East Asia & Pacific,GDP,,,,,,,,,,,,74690222131,58652652371,64330041773,64865515159
Nauru,East Asia & Pacific,GDP,,,,,,,,,,,,,,,
New Caledonia,East Asia & Pacific,GDP,,,,,,,,,,,,,,,
New Zealand,East Asia & Pacific,GDP,53872425917,66628222189,88250885550,1.04E+11,1.15E+11,1.12E+11,1.37E+11,1.33E+11,1.21E+11,1.47E+11,1.68E+11,1.77E+11,1.91E+11,2.00E+11,1.74E+11
Northern Mariana Islands,East Asia & Pacific,GDP,,,,,,,,,,,,,,,
Palau,East Asia & Pacific,GDP,160000000,163500000,159900000,175300000,193300000,194700000,196000000,198100000,186400000,183800000,199900000,214200000,228700000,250900000,287400000
Papua New Guinea,East Asia & Pacific,GDP,3081029666,2999542369,3536459111,3927114466,4865971718,5527856839,6340673794,8000074071,8105331930,9716103409,12873049346,15391629871,15413163675,16928680397,
Philippines,East Asia & Pacific,GDP,76262072022,81357602950,83908206456,91371239765,1.03E+11,1.22E+11,1.49E+11,1.74E+11,1.68E+11,2.00E+11,2.24E+11,2.50E+11,2.72E+11,2.85E+11,2.92E+11
Samoa,East Asia & Pacific,GDP,273088357.2,288078881.4,338838639.4,420320176.4,465568018.3,505832439.8,570469196.7,619260721.6,586153251.8,656789149.6,762098381.9,804209309.4,795753602.5,800418989.6,761037916.4
Singapore,East Asia & Pacific,GDP,89286208629,91941192896,97001377569,1.14E+11,1.27E+11,1.48E+11,1.80E+11,1.92E+11,1.92E+11,2.36E+11,2.75E+11,2.89E+11,3.00E+11,3.06E+11,2.93E+11
Solomon Islands,East Asia & Pacific,GDP,400464594,341663056,332736306.5,375109694.3,413911362.3,456707935,516074229,608292551.5,597762270.8,671585231.6,886503123.8,1025124684,1059695156,1158190175,1156834751
Thailand,East Asia & Pacific,GDP,1.20E+11,1.34E+11,1.52E+11,1.73E+11,1.89E+11,2.22E+11,2.63E+11,2.91E+11,2.82E+11,3.41E+11,3.71E+11,3.97E+11,4.20E+11,4.04E+11,3.95E+11
Timor-Leste,East Asia & Pacific,GDP,452000000,444000000,453000000,466000000,491000000,463000000,559000000,694000000,818000000,934000000,1138000000,1295000000,1319000000,1371172833,1412377919
Tonga,East Asia & Pacific,GDP,167042898.9,181801931.5,208098552.8,236247362.5,258739680.9,287983019.9,299657872,340041546.5,321303416.1,369816107,441232909.2,457244315.2,432889959.4,434386306.6,
Tuvalu,East Asia & Pacific,GDP,13196254.87,15451309.04,18230911.04,21535683.88,21839543.63,22902861.45,27030374.03,30290219.76,27101076.28,31823518.62,39312016.5,39875750.67,38320765.12,37859554.46,
Vanuatu,East Asia & Pacific,GDP,257926881.7,262603781.8,314463144,364996869.1,394962552.3,439376794.1,526428309.9,607958616.1,610066628.7,700804286.2,792149700.7,781702874.1,801787555.9,814954586.8,
Vietnam,East Asia & Pacific,GDP,35291349277,37947904054,42717072778,49424107710,57633255739,66371664817,77414425532,99130304099,1.06E+11,1.16E+11,1.36E+11,1.56E+11,1.71E+11,1.86E+11,1.94E+11
Albania,Europe & Central Asia,GDP,4060758804,4435078648,5746945913,7314865176,8158548717,8992642349,10701011897,12881352688,12044212904,11926953259,12890867539,12319784787,12781029644,13277963807,11455595709
Andorra,Europe & Central Asia,GDP,1484004617,1717563533,2373836214,2916913449,3248134607,3536451646,4010785102,4001349340,3649863493,3346317329,3427235709,3146177741,3249100667,,
Armenia,Europe & Central Asia,GDP,2118467913,2376335048,2807061009,3576615240,4900469515,6384451606,9206301700,11662040714,8647936748,9260284938,10142111334,10619320049,11121465767,11644438423,10561401185
Austria,Europe & Central Asia,GDP,1.97E+11,2.13E+11,2.61E+11,3.00E+11,3.15E+11,3.34E+11,3.86E+11,4.28E+11,3.98E+11,3.90E+11,4.29E+11,4.07E+11,4.29E+11,4.37E+11,3.74E+11
Azerbaijan,Europe & Central Asia,GDP,5707618247,6236024951,7275766111,8680511918,13245421881,20983019924,33050343783,48852482960,44291490421,52902703376,65951627200,68730906314,73560484385,75198010965,53047140347
Belarus,Europe & Central Asia,GDP,12354820144,14594925393,17825436035,23141587718,30210091837,36961821894,45275747861,60752177439,49208656976,55220932614,59734593905,63615445567,73097619637,76103961203,54608962635
