name,region,indicator,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015
Afghanistan,South Asia,HEX,,7.76307316,8.81605343,8.78670722,8.06810435,7.43397155,6.72831635,8.32809334,9.41897064,9.19772273,7.87199189,8.51891268,8.13486556,8.18227382,
Albania,Europe & Central Asia,HEX,6.00014389,6.30011348,6.26700723,6.37953469,6.11631076,5.86129625,6.10393525,5.86941616,5.79133946,5.33503501,5.71466526,5.58917285,5.65513948,5.88310543,
Algeria,Middle East & North Africa,HEX,3.83786516,3.73006375,3.60102674,3.54406326,3.23516801,3.35511843,3.82141191,4.20191141,5.35942501,5.11715468,5.29292834,6.14311272,7.12438268,7.20717804,
American Samoa,East Asia & Pacific,HEX,,,,,,,,,,,,,,,
Andorra,Europe & Central Asia,HEX,5.78874692,5.97260274,5.74503291,5.70388241,5.22335314,5.31389324,6.33545578,6.5674086,6.75968963,7.99926652,6.70379149,7.54733741,11.4780464,8.12713561,
Angola,Sub-Saharan Africa,HEX,5.38455772,3.63392075,4.40528442,4.70732007,4.10396002,4.54243749,3.38311163,3.84493395,4.37177378,3.39114609,3.3795827,3.30479422,4.26303169,3.30698293,
Antigua and Barbuda,Latin America & Caribbean,HEX,4.48439049,4.41378705,4.53434099,4.20698542,4.41010035,4.34002161,4.26972324,4.69201433,4.86206202,5.6285144,5.64852918,5.38593825,5.33222783,5.54168311,
Argentina,Latin America & Caribbean,HEX,9.37589012,8.31392968,8.21606274,6.84056093,6.84561938,6.68187054,6.49458405,6.66371839,7.63475841,6.55015616,5.89274265,5.01904817,4.98687258,4.78591616,
Armenia,Europe & Central Asia,HEX,5.94041648,5.40041921,5.56388068,5.50118169,5.25211644,4.57775072,4.30883082,3.79932298,4.54532341,4.56226302,3.71354097,4.48215825,4.55022679,4.48014942,
Aruba,Latin America & Caribbean,HEX,,,,,,,,,,,,,,,
Australia,East Asia & Pacific,HEX,8.17867869,8.39043833,8.31845119,8.57432053,8.45389263,8.49118995,8.5306305,8.78349607,9.04605596,9.01527191,9.19934655,9.35738514,9.36373848,9.42230024,
Austria,Europe & Central Asia,HEX,10.11903601,10.27003327,10.48033992,10.55988254,10.53141508,10.35154773,10.40127692,10.60392998,11.19443731,11.16524816,10.93557307,11.16821981,11.1377909,11.20547328,
Azerbaijan,Europe & Central Asia,HEX,4.48244097,4.46710558,6.56328804,7.92454395,7.8639081,6.16806759,5.09525293,4.37406647,5.85024048,5.3336001,5.00932503,5.36689762,5.53755045,6.0368632,
"Bahamas, The",Latin America & Caribbean,HEX,5.14618628,5.25568411,5.6180021,6.02453452,5.95416502,6.93251788,7.07559268,7.3029743,7.4319201,7.43658423,7.63371738,7.43010401,7.04554853,7.74236489,
